Date,Close,Open,High,Low,Volume,OBV,BIAS_6,5_MA,PSY_12,ASY_5,ASY_4,ASY_3,ASY_2,ASY_1,DAY,Change
02-01-2009,3713.8,3723.9,3767.5,3674.8,333730000.0,0,0,0,0,0,0,0,0,0,4,-0.230
05-01-2009,3687.0,3742.5,3768.4,3669.8,681310000.0,0,0,0,0,0,0,0,0,0,0,-0.720
06-01-2009,3742.7,3692.0,3762.2,3692.0,691800000.0,-681310000.0,0,0,0,0,0,0,0,-0.7242491932350603,1,1.510
07-01-2009,3779.7,3769.7,3817.9,3767.7,1020000000.0,10490000.0,0,0,0,0,0,0,0.3875832456585293,1.499415684552119,2,0.990
08-01-2009,3694.3,3746.2,3746.7,3662.6,639530000.0,1030490000.0,0,0,0,0,0,0.5863010072732303,1.2415761075273757,0.9837365305026324,3,-2.260
09-01-2009,3735.7,3706.8,3741.0,3696.0,577920000.0,390960000.0,0,3723.5,0,0,-0.13161299818533756,0.06593240016457003,-0.6508092420292044,-2.2853550145610413,4,1.120
12-01-2009,3683.3,3722.0,3722.0,3655.8,530130000.0,968880000.0,-1.1336184528389615,3727.88,0,0.11759212344340852,0.32805245261302574,-0.062401958033338666,-0.5854712023013242,1.1144126099583929,0,-1.400
13-01-2009,3654.6,3665.5,3665.5,3610.7,582240000.0,438750000.0,-1.76994718380842,3727.1400000000003,0,-0.0200805954212413,-0.39995466541458136,-0.8611850640536526,-0.14910008879995829,-1.4126127875583094,1,-0.780
14-01-2009,3687.0,3664.7,3690.8,3641.1,623240000.0,-143490000.0,-0.755036944321065,3709.5199999999995,0,-0.4764125601834479,-0.841449832854968,-0.36014810561961025,-1.0974284634086118,-0.7822441392589141,2,0.890
15-01-2009,3529.5,3648.0,3649.5,3515.1,672370000.0,479750000.0,-4.756550601315062,3690.9800000000005,0,-0.4966304430109503,-0.04944930012342752,-0.43740327015070096,0.050201488553103246,0.8826471163651206,3,-4.270
16-01-2009,3550.9,3550.0,3576.7,3541.6,545850000.0,-192620000.0,-3.08855370171577,3658.0199999999995,0,-0.9126974680711086,-1.419474987578484,-1.4217623875852088,-1.7415215117483562,-4.365690139861833,4,0.610
19-01-2009,3589.3,3556.0,3602.0,3556.0,425340000.0,353230000.0,-1.3973719152053385,3621.06,0,-1.0146824974698987,-0.915199924947796,-0.9595185201774233,-1.8806013384486953,0.6044874629644426,0,1.080
20-01-2009,3476.6,3563.5,3563.5,3441.0,594550000.0,778570000.0,-3.848884054096407,3602.2599999999998,50.0,-0.5170378413087562,-0.4507362668212167,-0.8951973945499958,0.8400489781059228,1.075610493247403,1,-3.140
21-01-2009,3442.8,3459.5,3459.9,3409.7,661240000.0,184020000.0,-3.8677581336472895,3566.66,50.0,-0.9986368676610979,-1.4689578636676526,-0.5033804382695924,-1.05731438888661,-3.190239271020623,2,-0.970
22-01-2009,3486.8,3457.2,3492.2,3445.7,601190000.0,-477220000.0,-1.6699489098095865,3517.8200000000006,50.0,-1.3705605091764994,-0.621778101505166,-1.030533289661702,-2.083605181116255,-0.9769710912118867,3,1.280
23-01-2009,3342.7,3470.9,3471.2,3342.7,828910000.0,123970000.0,-4.838227549001474,3509.28,50.0,-0.24343615396212215,-0.4554170581937633,-0.9657595753408188,0.14648027249908324,1.2699316362100532,4,-4.130
27-01-2009,3444.0,3376.0,3445.8,3374.0,659310000.0,-704940000.0,-1.0775954923859874,3467.6400000000003,41.66666666666667,-1.2084445765327345,-1.779458343977769,-1.3091980349634842,-1.475311506839283,-4.220554649888619,1,3.030
28-01-2009,3495.5,3451.7,3505.9,3417.1,724880000.0,-45630000.0,0.9180933683633029,3438.5800000000004,50.0,-0.8264722170004646,-0.235530453495425,0.011616425743395572,-0.6175411794899333,2.9854722909087528,2,1.500
29-01-2009,3526.2,3525.2,3564.1,3506.6,788740000.0,679250000.0,2.26600413758433,3442.3599999999997,50.0,0.10843244529201712,0.3797833294179931,0.08306722715397304,2.234878165675269,1.4842840404417856,3,0.880
30-01-2009,3540.7,3513.5,3548.4,3471.6,813100000.0,1467990000.0,2.4409296942810204,3459.04,58.333333333333336,0.4787142014268042,0.28090984273099195,1.781398006937529,1.1793608649519172,0.8744376894620487,4,0.410
02-02-2009,3497.4,3519.4,3523.2,3480.5,596950000.0,2281090000.0,0.7127121938577168,3469.8200000000006,66.66666666666666,0.30680075110787186,1.4386396013569946,0.923028704839742,0.6424010370387201,0.4103643846153915,0,-1.220
03-02-2009,3508.7,3505.8,3578.7,3503.3,962470000.0,1684140000.0,0.9867363826061656,3500.7600000000007,58.333333333333336,0.9048194328205028,0.3846562182984403,0.018113610917325218,-0.4100484283550365,-1.2304612413254645,1,0.320
04-02-2009,3437.9,3503.2,3514.2,3428.0,923400000.0,2646610000.0,-1.8327186198691399,3513.7,66.66666666666666,0.37224023875747747,0.09422928833640043,-0.16584017870548232,-0.45394246036591923,0.32257632059362606,2,-2.020
05-02-2009,3428.6,3460.3,3460.9,3414.5,857620000.0,1723210000.0,-2.0698453804554937,3502.1800000000003,58.333333333333336,-0.3323121422114639,-0.633999600129842,-0.9821209283782532,-0.8579507719046475,-2.038477864402921,3,-0.270
06-02-2009,3469.9,3441.0,3493.2,3441.0,755560000.0,865590000.0,-0.5735571527495812,3482.66,50.0,-0.5613757854656143,-0.8043108279858657,-0.6622606902059994,-1.1546791956058122,-0.27088052680870334,4,1.200
09-02-2009,3508.6,3498.4,3528.4,3495.8,745400000.0,1621150000.0,0.8063898253141263,3468.5,58.333333333333336,-0.4039734522194749,-0.19735150494297748,-0.37066078012184533,0.46324776201869255,1.1973760508460884,0,1.120
10-02-2009,3488.7,3515.9,3523.8,3462.9,668300000.0,2366550000.0,0.3889483048855997,3470.7400000000002,66.66666666666666,0.06394524431048154,-0.0007125247603045892,0.6785425884539009,1.153254146085203,1.1091322413243176,1,-0.570
